id,name,email,phone,address,city,state,zip,country,created_at
1,Customer 1,customer1@example.com,555-0001,1 Main St,New York,NY,10001,USA,2024-01-01
2,Customer 2,customer2@example.com,555-0002,2 Main St,New York,NY,10002,USA,2024-01-01
3,Customer 3,customer3@example.com,,3 Main St,New York,NY,10003,USA,2024-01-01
4,Customer 4,customer4@example.com,555-0004,4 Main St,,NY,10004,USA,2024-01-01
5,Customer 5,,555-0005,5 Main St,New York,NY,10005,USA,2024-01-01
6,Customer 6,customer6@example.com,,6 Main St,New York,NY,10006,USA,2024-01-01
7,Customer 7,customer7@example.com,555-0007,7 Main St,New York,NY,10007,USA,2024-01-01
8,Customer 8,customer8@example.com,555-0008,8 Main St,,NY,10008,USA,2024-01-01
9,Customer 9,customer9@example.com,,9 Main St,New York,NY,10009,USA,2024-01-01
10,Customer 10,,555-0010,10 Main St,New York,NY,10010,USA,2024-01-01
11,Customer 11,customer11@example.com,555-0011,11 Main St,New York,NY,10011,USA,2024-01-01
12,Customer 12,customer12@example.com,,12 Main St,,NY,10012,USA,2024-01-01
13,Customer 13,customer13@example.com,555-0013,13 Main St,New York,NY,10013,USA,2024-01-01
14,Customer 14,customer14@example.com,555-0014,14 Main St,New York,NY,10014,USA,2024-01-01
15,Customer 15,,,15 Main St,New York,NY,10015,USA,2024-01-01
16,Customer 16,customer16@example.com,555-0016,16 Main St,,NY,10016,USA,2024-01-01
17,Customer 17,customer17@example.com,555-0017,17 Main St,New York,NY,10017,USA,2024-01-01
18,Customer 18,customer18@example.com,,18 Main St,New York,NY,10018,USA,2024-01-01
19,Customer 19,customer19@example.com,555-0019,19 Main St,New York,NY,10019,USA,2024-01-01
20,Customer 20,,555-0020,20 Main St,,NY,10020,USA,2024-01-01
21,Customer 21,customer21@example.com,,21 Main St,New York,NY,10021,USA,2024-01-01
22,Customer 22,customer22@example.com,555-0022,22 Main St,New York,NY,10022,USA,2024-01-01
23,Customer 23,customer23@example.com,555-0023,23 Main St,New York,NY,10023,USA,2024-01-01
24,Customer 24,customer24@example.com,,24 Main St,,NY,10024,USA,2024-01-01
25,Customer 25,,555-0025,25 Main St,New York,NY,10025,USA,2024-01-01
26,Customer 26,customer26@example.com,555-0026,26 Main St,New York,NY,10026,USA,2024-01-01
27,Customer 27,customer27@example.com,,27 Main St,New York,NY,10027,USA,2024-01-01
28,Customer 28,customer28@example.com,555-0028,28 Main St,,NY,10028,USA,2024-01-01
29,Customer 29,customer29@example.com,555-0029,29 Main St,New York,NY,10029,USA,2024-01-01
30,Customer 30,,,30 Main St,New York,NY,10030,USA,2024-01-01
31,Customer 31,customer31@example.com,555-0031,31 Main St,New York,NY,10031,USA,2024-01-01
32,Customer 32,customer32@example.com,555-0032,32 Main St,,NY,10032,USA,2024-01-01
33,Customer 33,customer33@example.com,,33 Main St,New York,NY,10033,USA,2024-01-01
34,Customer 34,customer34@example.com,555-0034,34 Main St,New York,NY,10034,USA,2024-01-01
35,Customer 35,,555-0035,35 Main St,New York,NY,10035,USA,2024-01-01
36,Customer 36,customer36@example.com,,36 Main St,,NY,10036,USA,2024-01-01
37,Customer 37,customer37@example.com,555-0037,37 Main St,New York,NY,10037,USA,2024-01-01
38,Customer 38,customer38@example.com,555-0038,38 Main St,New York,NY,10038,USA,2024-01-01
39,Customer 39,customer39@example.com,,39 Main St,New York,NY,10039,USA,2024-01-01
40,Customer 40,,555-0040,40 Main St,,NY,10040,USA,2024-01-01
41,Customer 41,customer41@example.com,555-0041,41 Main St,New York,NY,10041,USA,2024-01-01
42,Customer 42,customer42@example.com,,42 Main St,New York,NY,10042,USA,2024-01-01
43,Customer 43,customer43@example.com,555-0043,43 Main St,New York,NY,10043,USA,2024-01-01
44,Customer 44,customer44@example.com,555-0044,44 Main St,,NY,10044,USA,2024-01-01
45,Customer 45,,,45 Main St,New York,NY,10045,USA,2024-01-01
46,Customer 46,customer46@example.com,555-0046,46 Main St,New York,NY,10046,USA,2024-01-01
47,Customer 47,customer47@example.com,555-0047,47 Main St,New York,NY,10047,USA,2024-01-01
48,Customer 48,customer48@example.com,,48 Main St,,NY,10048,USA,2024-01-01
49,Customer 49,customer49@example.com,555-0049,49 Main St,New York,NY,10049,USA,2024-01-01
50,Customer 50,,555-0050,50 Main St,New York,NY,10050,USA,2024-01-01
51,Customer 51,customer51@example.com,,51 Main St,New York,NY,10051,USA,2024-01-01
52,Customer 52,customer52@example.com,555-0052,52 Main St,,NY,10052,USA,2024-01-01
53,Customer 53,customer53@example.com,555-0053,53 Main St,New York,NY,10053,USA,2024-01-01
54,Customer 54,customer54@example.com,,54 Main St,New York,NY,10054,USA,2024-01-01
55,Customer 55,,555-0055,55 Main St,New York,NY,10055,USA,2024-01-01
56,Customer 56,customer56@example.com,555-0056,56 Main St,,NY,10056,USA,2024-01-01
57,Customer 57,customer57@example.com,,57 Main St,New York,NY,10057,USA,2024-01-01
58,Customer 58,customer58@example.com,555-0058,58 Main St,New York,NY,10058,USA,2024-01-01
59,Customer 59,customer59@example.com,555-0059,59 Main St,New York,NY,10059,USA,2024-01-01
60,Customer 60,,,60 Main St,,NY,10060,USA,2024-01-01
61,Customer 61,customer61@example.com,555-0061,61 Main St,New York,NY,10061,USA,2024-01-01
62,Customer 62,customer62@example.com,555-0062,62 Main St,New York,NY,10062,USA,2024-01-01
63,Customer 63,customer63@example.com,,63 Main St,New York,NY,10063,USA,2024-01-01
64,Customer 64,customer64@example.com,555-0064,64 Main St,,NY,10064,USA,2024-01-01
65,Customer 65,,555-0065,65 Main St,New York,NY,10065,USA,2024-01-01
66,Customer 66,customer66@example.com,,66 Main St,New York,NY,10066,USA,2024-01-01
67,Customer 67,customer67@example.com,555-0067,67 Main St,New York,NY,10067,USA,2024-01-01
68,Customer 68,customer68@example.com,555-0068,68 Main St,,NY,10068,USA,2024-01-01
69,Customer 69,customer69@example.com,,69 Main St,New York,NY,10069,USA,2024-01-01
70,Customer 70,,555-0070,70 Main St,New York,NY,10070,USA,2024-01-01
71,Customer 71,customer71@example.com,555-0071,71 Main St,New York,NY,10071,USA,2024-01-01
72,Customer 72,customer72@example.com,,72 Main St,,NY,10072,USA,2024-01-01
73,Customer 73,customer73@example.com,555-0073,73 Main St,New York,NY,10073,USA,2024-01-01
74,Customer 74,customer74@example.com,555-0074,74 Main St,New York,NY,10074,USA,2024-01-01
75,Customer 75,,,75 Main St,New York,NY,10075,USA,2024-01-01
76,Customer 76,customer76@example.com,555-0076,76 Main St,,NY,10076,USA,2024-01-01
77,Customer 77,customer77@example.com,555-0077,77 Main St,New York,NY,10077,USA,2024-01-01
78,Customer 78,customer78@example.com,,78 Main St,New York,NY,10078,USA,2024-01-01
79,Customer 79,customer79@example.com,555-0079,79 Main St,New York,NY,10079,USA,2024-01-01
80,Customer 80,,555-0080,80 Main St,,NY,10080,USA,2024-01-01
81,Customer 81,customer81@example.com,,81 Main St,New York,NY,10081,USA,2024-01-01
82,Customer 82,customer82@example.com,555-0082,82 Main St,New York,NY,10082,USA,2024-01-01
